State,City,Credit Balance,Checking Account Number,Zip,First Name,Credit Limit,Last Name,Savings Balance,Phone Number,ID,PIN,Savings Account Number,Date of Birth,Credit Account Number,Credit Score,Address,Checking Balance
TX,El Paso,0.05,1000453,79999,Michelle,600,Sexton,14181.93,(915) 123-4567,453,4802,2000453,1/25/60,3000453,379,101 Random Rd.,1884.87
TX,El Paso,2.54,1001002,79999,David,100,Johnson,11445.7,(915) 123-4567,1002,5896,2001002,12/12/60,3001002,354,101 Random Rd.,1759.92
TX,El Paso,48.6,1000662,79999,Christopher,400,Robinson,2411.04,(915) 123-4567,662,8599,2000662,7/23/56,3000662,443,101 Random Rd.,1728.04
TX,El Paso,54.59,1001029,79999,Vanessa,600,Carson,18917,(915) 123-4567,1029,2828,2001029,3/31/63,3001029,456,101 Random Rd.,2371.8
TX,El Paso,767.99,1000119,79999,Brittany,5900,Hawkins,906.45,(915) 123-4567,119,1525,2000119,8/4/03,3000119,715,101 Random Rd.,2165.72
TX,El Paso,1188.43,1000778,79999,Sabrina,4400,Nguyen,1178.39,(915) 123-4567,778,6903,2000778,8/3/84,3000778,605,101 Random Rd.,1784.81
TX,El Paso,96.84,1000924,79999,Erica,600,Burch,5640.09,(915) 123-4567,924,9752,2000924,4/7/70,3000924,446,101 Random Rd.,1607.52
TX,El Paso,110.19,1000264,79999,Karen,500,Zhang,5452.32,(915) 123-4567,264,9859,2000264,12/17/13,3000264,366,101 Random Rd.,2254.62
TX,El Paso,54.5,1000865,79999,Jody,600,Sanchez,8383.21,(915) 123-4567,865,5941,2000865,1/11/94,3000865,345,101 Random Rd.,1536.36
TX,El Paso,102.33,1000102,79999,Katherine,600,Evans,3953.19,(915) 123-4567,102,3341,2000102,5/21/46,3000102,415,101 Random Rd.,1530.41
TX,El Paso,240.96,1000482,79999,Brandi,1000,Gordon,3849.96,(915) 123-4567,482,4534,2000482,6/25/86,3000482,662,101 Random Rd.,1570.1
TX,El Paso,95.42,1000991,79999,Paul,1900,Salas,18540.55,(915) 123-4567,991,2908,2000991,7/28/46,3000991,662,101 Random Rd.,1987.13
TX,El Paso,14.82,1000286,79999,Tammy,100,Martinez,23654.86,(915) 123-4567,286,3248,2000286,4/27/00,3000286,495,101 Random Rd.,1772.13
TX,El Paso,28.1,1000513,79999,Jennifer,200,Mills,2736.93,(915) 123-4567,513,3652,2000513,4/9/18,3000513,455,101 Random Rd.,1535.5
TX,El Paso,1700.16,1000511,79999,Mary,6800,Chapman,15568.58,(915) 123-4567,511,1807,2000511,4/12/62,3000511,701,101 Random Rd.,1870.71
TX,El Paso,39.79,1000588,79999,Joseph,300,Macdonald,24647.78,(915) 123-4567,588,9917,2000588,5/21/89,3000588,459,101 Random Rd.,1942.81
TX,El Paso,48.59,1000465,79999,George,200,Wood,17869.53,(915) 123-4567,465,9453,2000465,11/8/49,3000465,551,101 Random Rd.,1726.66
TX,El Paso,30.48,1000156,79999,Philip,600,Zamora,9404.47,(915) 123-4567,156,7320,2000156,3/7/51,3000156,325,101 Random Rd.,1848.03
TX,El Paso,13.16,1000827,79999,Jessica,100,Lloyd,11795.9,(915) 123-4567,827,6768,2000827,8/1/72,3000827,306,101 Random Rd.,1900.59
TX,El Paso,168.97,1000853,79999,Nicholas,600,Smith,21812.56,(915) 123-4567,853,3762,2000853,1/19/79,3000853,567,101 Random Rd.,1763.81
TX,El Paso,2.11,1000427,79999,Krista,100,Blake,12327.74,(915) 123-4567,427,8398,2000427,8/8/78,3000427,430,101 Random Rd.,2045.62
TX,El Paso,714.41,1000516,79999,Michael,5100,Adams,17410.04,(915) 123-4567,516,8227,2000516,12/15/83,3000516,731,101 Random Rd.,2367.66
TX,El Paso,2304.95,1000638,79999,Donald,12800,Tran,4049.88,(915) 123-4567,638,5178,2000638,2/24/71,3000638,748,101 Random Rd.,2106.19
TX,El Paso,104.65,1000374,79999,Jeremiah,400,Williamson,1537.01,(915) 123-4567,374,5308,2000374,11/18/07,3000374,577,101 Random Rd.,1636.24
TX,El Paso,8.13,1000113,79999,Michele,100,Stevens,16144.12,(915) 123-4567,113,1428,2000113,6/12/91,3000113,370,101 Random Rd.,1939.59
TX,El Paso,12.91,1000643,79999,Mark,400,Rogers,13038.61,(915) 123-4567,643,2525,2000643,5/18/08,3000643,384,101 Random Rd.,1937.5
TX,El Paso,108.25,1000353,79999,Kenneth,400,Smith,15771.44,(915) 123-4567,353,6764,2000353,1/30/28,3000353,319,101 Random Rd.,2061.89
TX,El Paso,2904.75,1000659,79999,Anthony,13200,Moore,12606.6,(915) 123-4567,659,1638,2000659,2/19/05,3000659,778,101 Random Rd.,2270.61
TX,El Paso,273.84,1000170,79999,Linda,2100,Bennett,6263.01,(915) 123-4567,170,6923,2000170,11/30/31,3000170,610,101 Random Rd.,1643.66
TX,El Paso,50.77,1000331,79999,Amanda,500,Shepherd,9558.94,(915) 123-4567,331,8981,2000331,6/6/18,3000331,515,101 Random Rd.,2054.88
TX,El Paso,80.53,1000249,79999,Alejandra,400,Morris,6133.89,(915) 123-4567,249,5991,2000249,1/18/17,3000249,326,101 Random Rd.,2356.25
TX,El Paso,0.16,1000356,79999,Elizabeth,5500,Cordova,23394.83,(915) 123-4567,356,5769,2000356,11/4/03,3000356,736,101 Random Rd.,1767.19
TX,El Paso,3667.01,1000492,79999,Michael,19300,Robinson,17799.95,(915) 123-4567,492,3802,2000492,2/6/44,3000492,837,101 Random Rd.,2179.34
TX,El Paso,6.31,1000383,79999,Elizabeth,600,Alvarez,20304.25,(915) 123-4567,383,6113,2000383,11/13/72,3000383,430,101 Random Rd.,1963.96
TX,El Paso,7.73,1000149,79999,Richard,100,Vargas,13632.46,(915) 123-4567,149,1378,2000149,6/22/40,3000149,394,101 Random Rd.,1502.42
