ID,Pin,First Name,Last Name,Address,City,State,Zip,Phone Number,Date of Birth,Checking Account Number,Checking Balance,Savings Account Number,Savings Balance,Credit Account Number,Credit Balance,Credit Score,Credit Limit
1,5965,Mickey,Mouse,304,Anaheim,CA,92802,(714) 781-4636,3/25/91,1000001,91421.93999999999,2000001,147006.24999999997,3000001,198.03000000000003,304,200
2,5486,Donald,Duck,808,Anaheim,CA,92802,(714) 781-4636,7/8/48,1000002,77919.41,2000002,151407.0300000001,3000002,348.04999999999984,808,21200
3,3375,Minnie,Mouse,752,Anaheim,CA,92802,(714) 781-4636,6/14/66,1000003,93004.67000000001,2000003,131524.34999999998,3000003,720.2700000000007,752,9300
4,5183,Goofy,Disney,669,Anaheim,CA,92802,(714) 781-4636,11/24/80,1000004,81430.61000000006,2000004,132645.37,3000004,359.59999999999997,669,2800
5,3998,Pluto,Disney,339,Anaheim,CA,92802,(714) 781-4636,2/17/28,1000005,75111.27000000002,2000005,181998.29,3000005,258.0,339,300
6,4655,Chip,Disney,345,Anaheim,CA,92802,(714) 781-4636,3/22/19,1000006,89565.33,2000006,144556.03000000003,3000006,399.4100000000001,345,400
7,8343,Dale,Disney,678,Anaheim,CA,92802,(714) 781-4636,10/10/57,1000007,73111.05000000002,2000007,189440.09999999998,3000007,906.4100000000004,678,7000
8,9859,Cinderella,Disney,390,Anaheim,CA,92802,(714) 781-4636,6/18/66,1000008,81672.10000000003,2000008,171553.33000000002,3000008,398.89000000000004,390,400
9,7752,Ariel,Disney,401,Anaheim,CA,92802,(714) 781-4636,4/14/65,1000009,77705.09,2000009,180367.36000000002,3000009,92.5,401,100
10,4451,Jasmine,Disney,430,Anaheim,CA,92802,(714) 781-4636,5/6/71,1000010,93645.78999999995,2000010,168608.15000000005,3000010,492.3800000000002,430,500
11,5178,Aladdin,Disney,683,Anaheim,CA,92802,(714) 781-4636,2/16/28,1000011,74795.07000000005,2000011,144291.5,3000011,981.56,683,5700
12,6786,Simba,Disney,513,Anaheim,CA,92802,(714) 781-4636,4/29/39,1000012,69557.83999999997,2000012,165721.26,3000012,594.9399999999998,513,600
13,2938,Mufassa,Disney,538,Anaheim,CA,92802,(714) 781-4636,9/25/67,1000013,64410.78000000003,2000013,193685.05999999997,3000013,498.44000000000005,538,500
14,3430,Aurora,Disney,645,Anaheim,CA,92802,(714) 781-4636,5/24/66,1000014,55184.93000000006,2000014,164077.71999999994,3000014,46.09999999999981,645,1400
15,5391,Peter,Pan,561,Anaheim,CA,92802,(714) 781-4636,5/2/50,1000015,78896.94,2000015,187492.4699999999,3000015,99.44000000000003,561,100
16,9346,Woody,Disney,417,Anaheim,CA,92802,(714) 781-4636,5/28/80,1000016,96114.15000000005,2000016,149465.74999999997,3000016,498.55,417,500
17,5921,Buzz,Lightyear,723,Anaheim,CA,92802,(714) 781-4636,1/22/83,1000017,92774.79999999992,2000017,171338.42,3000017,639.8600000000006,723,6000
18,5649,Jafar,Aladdin,449,Anaheim,CA,92802,(714) 781-4636,5/17/91,1000018,79915.93000000002,2000018,142134.94999999998,3000018,354.4700000000002,449,400
19,4258,Ursela,Mermaid,324,Anaheim,CA,92802,(714) 781-4636,6/2/12,1000019,103984.59999999986,2000019,182145.07000000004,3000019,597.1800000000002,324,600
20,1447,Beast,Disney,743,Anaheim,CA,92802,(714) 781-4636,9/17/68,1000020,134502.87,2000020,171881.56999999998,3000020,557.4499999999998,743,13400
21,6754,Belle,Disney,645,Anaheim,CA,92802,(714) 781-4636,3/18/71,1000021,48948.68999999999,2000021,195029.62999999986,3000021,731.5899999999999,645,2800
22,1292,Cruella,DeVil,727,Anaheim,CA,92802,(714) 781-4636,1/23/50,1000022,81933.79000000002,2000022,187778.33,3000022,309.8300000000014,727,5800
23,2189,Scar,Lion,321,Anaheim,CA,92802,(714) 781-4636,1/21/82,1000023,51642.58999999999,2000023,159869.76,3000023,255.33000000000004,321,300
24,3335,Simba,King,426,Anaheim,CA,92802,(714) 781-4636,7/7/42,1000024,73245.37000000004,2000024,183890.24999999997,3000024,192.26000000000002,426,200
25,9264,Gaston,Disney,601,Anaheim,CA,92802,(714) 781-4636,9/27/71,1000025,108278.50000000003,2000025,153491.11000000002,3000025,1024.67,601,4600
26,3394,Shere,Khan,425,Anaheim,CA,92802,(714) 781-4636,11/12/52,1000026,69200.04000000002,2000026,201909.65000000014,3000026,383.3800000000001,425,400
27,4486,Captaiin,Hook,302,Anaheim,CA,92802,(714) 781-4636,9/21/62,1000027,95256.79000000002,2000027,158483.18,3000027,363.29,302,400
28,3800,Kaa,Disney,526,Anaheim,CA,92802,(714) 781-4636,4/17/50,1000028,87929.43,2000028,164721.09000000005,3000028,382.21000000000004,526,400
29,2648,Evil,Queen,356,Anaheim,CA,92802,(714) 781-4636,3/19/42,1000029,67081.67999999998,2000029,131061.06999999996,3000029,399.94000000000005,356,400
30,7861,Pinocchio,Disney,416,Anaheim,CA,92802,(714) 781-4636,9/13/57,1000030,72997.16999999998,2000030,156575.0,3000030,198.65,416,200
31,1235,Prince,Eric,531,Anaheim,CA,92802,(714) 781-4636,1/15/53,1000031,72284.57000000004,2000031,157725.1199999999,3000031,396.28999999999996,531,400
32,5533,Quasimodo,Disney,848,Anaheim,CA,92802,(714) 781-4636,9/19/80,1000032,67981.81999999999,2000032,135076.21,3000032,173.08999999999887,848,22500
33,9103,Hercules,Disney,314,Anaheim,CA,92802,(714) 781-4636,1/31/40,1000033,57911.15000000003,2000033,153878.71,3000033,196.67000000000004,314,200
34,1346,Mulan,Disney,540,Anaheim,CA,92802,(714) 781-4636,7/13/31,1000034,79570.56999999996,2000034,174640.19999999995,3000034,196.02000000000004,540,200
35,5887,Lilo,Disney,808,Anaheim,CA,92802,(714) 781-4636,6/4/37,1000035,87907.52000000003,2000035,159847.22000000003,3000035,771.3999999999997,808,16500
36,3573,Stitch,Disney,341,Anaheim,CA,92802,(714) 781-4636,7/10/74,1000036,92626.63000000006,2000036,166182.69999999995,3000036,97.49000000000001,341,100
37,2418,Daniel,Mejia,342,El Paso,TX,79968,(915) 747-5000,11/6/00,1000037,79643.79000000002,2000037,169400.99000000002,3000037,396.93999999999994,342,400
38,6230,Erik,Macik,534,El Paso,TX,79968,(915) 747-5000,10/11/66,1000038,105545.11,2000038,185287.26,3000038,597.6899999999998,534,600
39,2992,Lorelyne,Chavez,322,El Paso,TX,79968,(915) 747-5000,7/4/29,1000039,111019.73999999993,2000039,147641.75999999998,3000039,360.50999999999993,322,400
40,3840,Efrain,Retana,763,El Paso,TX,79968,(915) 747-5000,12/11/80,1000040,69710.57000000002,2000040,175922.03000000003,3000040,919.27,763,15500
41,7124,Eduardo,Briones,439,El Paso,TX,79968,(915) 747-5000,9/10/16,1000041,104879.39999999994,2000041,148672.14999999994,3000041,499.31000000000006,439,500
42,6837,Aaron,Cardiel,771,El Paso,TX,79968,(915) 747-5000,10/15/69,1000042,93257.04000000001,2000042,157183.5,3000042,904.1899999999996,771,15200
43,2249,Carlos,Castanon,572,El Paso,TX,79968,(915) 747-5000,11/5/62,1000043,60466.840000000004,2000043,188949.38,3000043,498.34000000000003,572,500
44,1836,Ashley,Chacon,846,El Paso,TX,79968,(915) 747-5000,7/12/58,1000044,51307.54999999998,2000044,147956.37000000008,3000044,534.0400000000004,846,22000
45,1791,Cristian,CruzDuarte,396,El Paso,TX,79968,(915) 747-5000,10/10/75,1000045,75469.34000000003,2000045,188986.31000000006,3000045,117.90000000000003,396,500
46,6407,Andres,DeLaRosa,564,El Paso,TX,79968,(915) 747-5000,9/29/74,1000046,83260.14999999998,2000046,160789.45999999996,3000046,498.34000000000015,564,500
47,9549,Alberto,Delgado,735,El Paso,TX,79968,(915) 747-5000,1/23/52,1000047,106774.57999999999,2000047,151237.61000000004,3000047,662.8800000000002,735,6500
48,7665,Clarissa,Dominguez,571,El Paso,TX,79968,(915) 747-5000,5/13/85,1000048,118451.76000000007,2000048,176594.77999999997,3000048,499.6000000000001,571,500
49,8445,Luis,Fierro,721,El Paso,TX,79968,(915) 747-5000,6/13/67,1000049,77440.41,2000049,129708.31000000003,3000049,437.64000000000055,721,5800
50,4714,Miguel,Flores,377,El Paso,TX,79968,(915) 747-5000,10/12/89,1000050,114698.23000000001,2000050,149676.74000000002,3000050,499.46000000000004,377,500
51,5707,Erick,Garcia,638,El Paso,TX,79968,(915) 747-5000,2/16/11,1000051,92540.6500000001,2000051,181862.10999999996,3000051,2272.2,638,3800
52,2772,Johnatan,Garcia,573,El Paso,TX,79968,(915) 747-5000,2/9/81,1000052,69801.54000000001,2000052,168998.14999999997,3000052,389.52000000000015,573,400
53,1679,Victor,Juarez,429,El Paso,TX,79968,(915) 747-5000,3/3/30,1000053,54707.93999999999,2000053,151850.69999999995,3000053,334.7500000000001,429,600
54,8241,Geber,Leyva,420,El Paso,TX,79968,(915) 747-5000,5/11/41,1000054,90309.11000000002,2000054,203630.5300000001,3000054,199.55,420,200
55,8915,Justin,Lim,776,El Paso,TX,79968,(915) 747-5000,10/13/18,1000055,71071.26999999997,2000055,161700.09000000005,3000055,387.09000000000003,776,15400
56,5210,Guillermo,Lopez,484,El Paso,TX,79968,(915) 747-5000,5/2/47,1000056,80480.31000000004,2000056,178982.93000000008,3000056,97.0,484,100
57,5486,Maria,Loya,728,El Paso,TX,79968,(915) 747-5000,4/25/20,1000057,105245.95000000001,2000057,222524.53000000003,3000057,550.6700000000002,728,5400
58,5530,Clarissa,Lucio,382,El Paso,TX,79968,(915) 747-5000,9/15/92,1000058,36159.95999999998,2000058,176376.7000000001,3000058,485.9999999999999,382,600
59,7125,David,Mares,846,El Paso,TX,79968,(915) 747-5000,11/8/41,1000059,99330.98000000004,2000059,218820.88,3000059,521.8000000000004,846,20100
60,9528,Valeria,MartinDelCampo,577,El Paso,TX,79968,(915) 747-5000,3/27/94,1000060,51131.51000000005,2000060,165999.78000000003,3000060,486.67999999999995,577,500
61,2400,Bryan,Martinez,656,El Paso,TX,79968,(915) 747-5000,2/16/97,1000061,82449.65000000007,2000061,146929.99999999997,3000061,658.9900000000006,656,4200
62,7622,Pablo,Martinez,373,El Paso,TX,79968,(915) 747-5000,7/30/37,1000062,109726.43000000005,2000062,187819.08000000007,3000062,189.71000000000026,373,600
63,3314,Ulysses,Martinez,837,El Paso,TX,79968,(915) 747-5000,12/11/69,1000063,99141.44000000003,2000063,189008.59999999998,3000063,214.97999999999982,837,17900
64,6555,Jose,MataNevarez,550,El Paso,TX,79968,(915) 747-5000,12/14/18,1000064,68641.98000000001,2000064,170685.95,3000064,99.63,550,100
65,8707,Eric,Morris,634,El Paso,TX,79968,(915) 747-5000,9/17/05,1000065,69579.70000000001,2000065,165840.60999999996,3000065,1176.1700000000005,634,2300
66,4983,Deyanira,OchoaMercado,508,El Paso,TX,79968,(915) 747-5000,4/4/94,1000066,81592.74000000003,2000066,168610.70000000007,3000066,398.91999999999973,508,400
67,6914,Arturo,Olmos,793,El Paso,TX,79968,(915) 747-5000,12/17/38,1000067,88568.54999999996,2000067,158835.09,3000067,353.8299999999997,793,14000
68,2601,Mauricio,OrnelasGutierrez,387,El Paso,TX,79968,(915) 747-5000,3/10/61,1000068,63949.08000000001,2000068,202401.03000000006,3000068,554.0,387,600
69,9269,Miguel,Ortiz,717,El Paso,TX,79968,(915) 747-5000,9/16/64,1000069,98392.95000000003,2000069,178733.90999999997,3000069,1830.3800000000006,717,5800
70,4614,Angel,OteroMontanez,815,El Paso,TX,79968,(915) 747-5000,5/7/00,1000070,67598.01999999999,2000070,153028.64000000004,3000070,704.2700000000008,815,24300
71,2540,Edmundo,Pariente,809,El Paso,TX,79968,(915) 747-5000,7/9/66,1000071,71404.62000000004,2000071,219950.17000000007,3000071,501.94999999999993,809,19400
72,3969,Jaehyeon,Park,723,El Paso,TX,79968,(915) 747-5000,10/8/78,1000072,125682.7,2000072,195584.65000000002,3000072,200.51000000000008,723,6400
73,2804,Daniel,Pedroza,693,El Paso,TX,79968,(915) 747-5000,12/29/91,1000073,83681.45000000001,2000073,144869.44,3000073,744.2499999999998,693,7300
74,1105,Sebastian,Ramos,394,El Paso,TX,79968,(915) 747-5000,9/26/16,1000074,101577.90000000004,2000074,184717.34999999995,3000074,198.12000000000006,394,200
75,1804,Franz,Reyes,750,El Paso,TX,79968,(915) 747-5000,10/28/71,1000075,98979.97000000002,2000075,158903.24000000008,3000075,1561.0400000000002,750,8800
76,1315,Jacob,Salgado,334,El Paso,TX,79968,(915) 747-5000,6/13/46,1000076,105976.38000000009,2000076,149491.97,3000076,276.5900000000001,334,300
77,7869,Diego,Sanchez,829,El Paso,TX,79968,(915) 747-5000,10/31/53,1000077,95124.64,2000077,152089.87000000002,3000077,535.2900000000002,829,16800
78,2444,Irvin,Sanchez,568,El Paso,TX,79968,(915) 747-5000,9/12/98,1000078,76393.54999999996,2000078,134926.52,3000078,277.2200000000001,568,300
79,3804,Jose,Toriano,842,El Paso,TX,79968,(915) 747-5000,8/21/82,1000079,132430.95000000004,2000079,205389.6799999999,3000079,55.1199999999995,842,22600
80,4435,Dario,Vazquez,518,El Paso,TX,79968,(915) 747-5000,2/10/62,1000080,39770.03000000003,2000080,156604.78999999998,3000080,98.8,518,100
81,9235,Jose,Vega,393,El Paso,TX,79968,(915) 747-5000,5/6/33,1000081,54613.909999999974,2000081,176967.60000000003,3000081,598.11,393,600
82,6384,Sergio,Velasco,562,El Paso,TX,79968,(915) 747-5000,3/1/33,1000082,100677.51000000002,2000082,146836.26,3000082,583.2900000000001,562,600
83,8418,Javier,Venegas,555,El Paso,TX,79968,(915) 747-5000,3/8/03,1000083,61668.23,2000083,171202.66,3000083,498.0199999999997,555,600
84,2534,Alan,Verdin,635,El Paso,TX,79968,(915) 747-5000,4/18/82,1000084,72605.13999999998,2000084,164039.01000000007,3000084,1414.8999999999999,635,2900
85,1815,Ryan,Winkelman,527,El Paso,TX,79968,(915) 747-5000,1/7/49,1000085,84247.9200000001,2000085,144051.61999999988,3000085,15.180000000000007,527,300
